id,en,it,no,de,a,b,c,Added in code?
user.shared.welcome_message,"<span class="patua-blue">Welcome to our community space</span>, where you can share upcoming Restart Parties and track their social and environmental impact. By doing so, we can empower and motivate at a local level, but also build global momentum for a change.","<span class="patua-blue">Benvenuti nel nostro spazio di comunità</span>, dove potrai condividere le prossime feste di riavvio e monitorare il loro impatto sociale e ambientale. In tal modo, possiamo potenziare e motivare a livello locale, ma anche costruire un impulso globale per un cambiamento.",,guten tag,,,,X
user.login.login_label,login,accesso,,guten tag,,,,X
user.logln.email_label,email,e-mail,,guten tag,,,,X
user.login.passworld_label,password,password,,guten tag,,,,X
user.login.email_placeholder,Your email...,La tua email...
,,guten tag,,,,X
user.login.password_placeholder,Your password...,La tua password...,,guten tag,,,,X
user.login.forgotten_password_label,forgotten your password?,hai dimenticato la tua password?,,guten tag,,,,X
user.shared.stats_devices_restarted,Devices Restarted,Dispositivi Riavviati,,guten tag,,,,X
user.shared.stats_co2_prevented,CO<sub>2</sub> Emission prevented,le emissioni di CO<sub>2</sub> sono evitate,,guten tag,,,,X
user.shared.stats_waste_prevented,Waste prevented,rifiuti impediti,,guten tag,,,,X
user.shared.stats_parties_thrown,Parties thrown,Parti gettate,,guten tag,,,,X
user.recover.recovery_header,recover your password,ciao,,guten tag,,,,
user.recover.explainer_text,Please input the email address that was used when you first registered with the Fixometer. The system will send you an email with instructions on how to recover the access to your account.,,,,,,,
user.recover.email_label,email,e-mail,,,,,,
user.recover.email_placeholder,Your email...,La tua email...,,,,,,
user.reset.reset_password,Reset your password,,,,,,,
user.reset.explainer_text,"Please input your new password here, and then click the button below to reset your password.",,,,,,,
user.reset.new_password_label,New Password,,,,,,,
user.reset.new_password_placeholder,Your new password...,,,,,,,
user.reset.confirm_password_label,Confirm Password,,,,,,,
user.reset.confirm_password_placeholder,Confirm your new password...,,,,,,,
user.edit.new_password,New Password,Nuovo Password,,,,,,
